title,url,channel,domain,watched,extracted,notes,description
الدحيح - الذاكرة الكاذبة,https://www.youtube.com/watch?v=fHCWNPc027Q,aj_kabrit,,,,,""""" ! : 1- 2- 3- 4- 5- 6- 7- 8- 9"
الدحيح - ناس نتنة,https://www.youtube.com/watch?v=WtUc0vnPFiM,aj_kabrit,,,,,
الدحيح - لعنة البترول,https://www.youtube.com/watch?v=-h0jB1n2OJo,aj_kabrit,,,,,""""" - : The Oil Curse: How Petroleum Wealth Shapes the Development of Nations, Michael Ross."
الدحيح - مفارقة الإنستغرام,https://www.youtube.com/watch?v=Y6UB2N6T9tk,aj_kabrit,,,,,
الدحيح - هتلر,https://www.youtube.com/watch?v=14IzHF1zi28,aj_kabrit,,,,,""""" - : Hitler s Circle of Evil Documentary Hitler- A Career Documentary Germans Into Nais, Peter Fritzsche, Harvard University Press, 1998."
الدحيح - الحروب,https://www.youtube.com/watch?v=oPUkpcmAc-w,aj_kabrit,,,,,""""" - : Harari, Y. N. (2016). Homo Deus: A brief history of tomorrow. Random House. Morris, I. (2014). War! what is it Good For?: Conflict and the Progress of Civilization from Primates to Robots. Farrar, Straus and Giroux."
الدحيح -  النووي والبكيني,https://www.youtube.com/watch?v=2DGJNwUy_EM,aj_kabrit,,,,,""""" - : The Bomb Documentary by PBS The Extreme Dangers of Nuclear War by Ira Helfand Ted Talk by Brian Toon Ted Talk by Ira Helfand Encyclopedia Britannica: Nuclear Weapons Encyclopedia Britannica: Treaty on the Non-Proliferation of Nuclear Weapons The Atlantic: Why One President Gave Up His Country's Nukes Food and Agriculture Organization of the Unites Nations' Country Briefs: Egypt https"
الدحيح - أخلاق الأطفال,https://www.youtube.com/watch?v=XF3BSYxA5eg,aj_kabrit,,,,,""""" - : Just Babies: Origin of good and bad"
الدحيح - لعبة الديكتاتور,https://www.youtube.com/watch?v=wDXXVBJq2ow,aj_kabrit,,,,,
الدحيح - سيارات ذاتية القيادة,https://www.youtube.com/watch?v=ol8SkzSZIvM,aj_kabrit,,,,,
الدحيح - معضلة القطار,https://www.youtube.com/watch?v=nehA5-iM8-c,aj_kabrit,,,,,""""" - : Just Babies: The Origins of Good and Evil, by Paul Bloom 2013"
الدحيح - أبو نيمار,https://www.youtube.com/watch?v=QCg6YH9bHg0,aj_kabrit,,,,,
الدحيح - ميسي والكلب,https://www.youtube.com/watch?v=zvf37X92QSQ,aj_kabrit,,,,,
الدحيح - معضلة الحمار,https://www.youtube.com/watch?v=Tdomyk_nMWI,aj_kabrit,,,,,
الدحيح - أخلاق الروبوتات,https://www.youtube.com/watch?v=Q8WSUbyLAyM,aj_kabrit,,,,,
الدحيح - صوتي لروبوتي,https://www.youtube.com/watch?v=1SZZpfqW81U,aj_kabrit,,,,,
الدحيح - احتواء الذكاء,https://www.youtube.com/watch?v=FNmwsHlfZRE,aj_kabrit,,,,,""""" : The Inevitable by Kevin Kelly"
الدحيح - التكديس القهري,https://www.youtube.com/watch?v=qeXPYFM4FI0,aj_kabrit,,,,,
الدحيح - بموت من الجوع,https://www.youtube.com/watch?v=k9zkzTvTSIg,aj_kabrit,,,,,
الدحيح - لو الشر مرض؟,https://www.youtube.com/watch?v=jbDWe55zpzw,aj_kabrit,,,,,""""" @Da7ee7"
الدحيح - السفَّاح,https://www.youtube.com/watch?v=vCyWNUzf8Ks,aj_kabrit,,,,,
الدحيح - مخيَّر أم مخيَّر؟,https://www.youtube.com/watch?v=eosw1CBlN-c,aj_kabrit,,,,,
الدحيح - السيطرة على المخ,https://www.youtube.com/watch?v=NEXVNKHKg_s,aj_kabrit,,,,,
الدحيح - قراءة الأفكار,https://www.youtube.com/watch?v=_CQ-6EEaVTY,aj_kabrit,,,,,
الدحيح - الإنتروبي,https://www.youtube.com/watch?v=SkwUz8U-t4U,aj_kabrit,,,,,
الدحيح - الوسطي الجميل,https://www.youtube.com/watch?v=7PTEuJwH-vk,aj_kabrit,,,,,
الدحيح - فين الفضائيين؟,https://www.youtube.com/watch?v=Ubz-zr312xU,aj_kabrit,,,,,
الدحيح - شاورما الديناصور,https://www.youtube.com/watch?v=_hTKa6e2jec,aj_kabrit,,,,,
الدحيح - ليلة سقوط الواقع,https://www.youtube.com/watch?v=tyJ-_cD9l5c,aj_kabrit,,,,,
الدحيح - البطاقة الشريرة,https://www.youtube.com/watch?v=cEC8slwGkz0,aj_kabrit,,,,,""""" : Book: Documenting individual identity dir_esc=y Articles Book: Suspect Identities: A History of Fingerprinting and Criminal Identification Book: Spies of the Kaiser book Book: : the world of yesterday by Stefan zweig"
الدحيح - أنا والكراش وهواك,https://www.youtube.com/watch?v=MjB7lQn8uz8,aj_kabrit,,,,,
الدحيح - إله الدولة الملحدة,https://www.youtube.com/watch?v=7fP3r2e_8CM,aj_kabrit,,,,,
الدحيح - الدواء والغلاء,https://www.youtube.com/watch?v=FKEF5dXaCA8,aj_kabrit,,,,,
الدحيح - وش,https://www.youtube.com/watch?v=-pcBIQjKYO8,aj_kabrit,,,,,
